img_size,feature_count,train_r2,test_r2,r2_gap,rmse_test,duration_sec,converged_epoch,acc_within_5_pct,learning_rate,max_depth,rate_drop,skip_drop,subsample
32x32,1026,0.027650336954342603,0.00231086557315352,0.025339471381189083,0.3313881417663105,1.5162606239318848,0,1.1111111111111112,0.1,5,0.2,0.5,0.7
32x32,1026,0.13630517349116544,0.006498426371966848,0.1298067471191986,0.33069194936002433,1.5467569828033447,3,2.2222222222222223,0.1,5,0.2,0.5,0.8
32x32,1026,0.06681218167471781,0.0038211749263531436,0.06299100674836466,0.3311372178307271,1.5348660945892334,1,1.6666666666666667,0.1,5,0.2,0.5,0.9
32x32,1026,0.1381049574549329,0.01878829331480436,0.11931666414012854,0.32864021276331246,1.7228975296020508,8,0.0,0.1,5,0.2,0.3,0.5
32x32,1026,0.018412425363707574,0.004199518130077129,0.014212907233630445,0.33107432981781787,1.5002310276031494,0,0.5555555555555556,0.1,5,0.2,0.3,0.6
32x32,1026,0.023543257662126282,0.0016234517712605534,0.02191980589086573,0.33150228631748385,1.5332608222961426,0,1.1111111111111112,0.1,5,0.2,0.3,0.7
32x32,1026,0.14807983567880068,0.009295796750160457,0.13878403892864022,0.3302260618479545,1.782165765762329,6,1.1111111111111112,0.1,5,0.2,0.3,0.8
32x32,1026,0.058114923153128495,0.003483304063924053,0.05463161908920444,0.3311933684582694,1.6557021141052246,1,0.0,0.1,5,0.2,0.3,0.9
32x32,1026,0.14133904991107615,0.017776904611438438,0.12356214529963772,0.32880954288298275,1.7826125621795654,8,0.5555555555555556,0.1,5,0.2,0.2,0.5
32x32,1026,0.019867269087533113,0.004755542610675789,0.015111726476857323,0.3309818860302713,1.5207388401031494,0,0.5555555555555556,0.1,5,0.2,0.2,0.6
32x32,1026,0.0254222110998108,0.0019501701962152396,0.02347204090359556,0.3314480398673698,1.5509891510009766,0,1.1111111111111112,0.1,5,0.2,0.2,0.7
32x32,1026,0.15180795391182766,0.008225344585894967,0.1435826093259327,0.33040441769146245,1.7555625438690186,6,1.1111111111111112,0.1,5,0.2,0.2,0.8
32x32,1026,0.06169524160005635,0.0036367558591764437,0.058058485740879906,0.33116786754402044,1.5522866249084473,1,1.1111111111111112,0.1,5,0.2,0.2,0.9
32x32,1026,0.05144361820848331,0.007226133126595702,0.04421748508188761,0.3305708167648593,1.4629621505737305,1,1.1111111111111112,0.1,5,0.2,0.1,0.5
32x32,1026,0.016521479411132356,0.0034538734015032713,0.013067606009629085,0.331198259077913,1.5190649032592773,0,0.5555555555555556,0.1,5,0.2,0.1,0.6
32x32,1026,0.021105545177026563,0.0011696486990807609,0.019935896477945803,0.33157761844803024,1.5295395851135254,0,0.5555555555555556,0.1,5,0.2,0.1,0.7
32x32,1026,0.05653184289120161,-0.0008256810872941944,0.057357523978495806,0.33190864393698505,1.6153614521026611,1,0.0,0.1,5,0.2,0.1,0.8
32x32,1026,0.09205324910638113,0.005636704926204272,0.08641654418017686,0.3308353324142292,1.6976697444915771,2,1.1111111111111112,0.1,5,0.2,0.1,0.9
32x32,1026,0.16295482727362098,0.019566535284412656,0.14338829198920833,0.32850985743898004,2.2507731914520264,5,0.5555555555555556,0.1,6,0.05,0.5,0.5
32x32,1026,0.024299469630323256,0.005397069699114909,0.018902399931208347,0.33087519461776116,2.06877064704895,0,0.0,0.1,6,0.05,0.5,0.6
32x32,1026,0.13722839389365948,0.01276872581211208,0.1244596680815474,0.32964674739385613,2.0677082538604736,3,0.5555555555555556,0.1,6,0.05,0.5,0.7
32x32,1026,0.14562507289837112,0.0064027631963461396,0.13922230970202498,0.3307078699591348,2.0443875789642334,3,1.1111111111111112,0.1,6,0.05,0.5,0.8
32x32,1026,0.14083981343400143,0.007340325146702686,0.13349948828729874,0.330551804562702,2.08207368850708,3,2.2222222222222223,0.1,6,0.05,0.5,0.9
32x32,1026,0.08854970447839505,0.00935513026348711,0.07919457421490794,0.33021617304070483,2.101755142211914,2,1.1111111111111112,0.1,6,0.05,0.3,0.5
32x32,1026,0.021660514020328536,0.0045287273084675395,0.017131786711860997,0.3310195991163574,2.0252835750579834,0,0.0,0.1,6,0.05,0.3,0.6
32x32,1026,0.19242341785218076,0.018416783610449294,0.17400663424173146,0.328702422311374,2.1509411334991455,6,0.5555555555555556,0.1,6,0.05,0.3,0.7
32x32,1026,0.14331494844046766,0.01569244652045576,0.1276225019200119,0.32915825514084124,2.0498247146606445,3,0.5555555555555556,0.1,6,0.05,0.3,0.8
32x32,1026,0.06761365871077918,0.0037580256172319304,0.06385563309354725,0.3311477133133744,1.9257607460021973,1,0.5555555555555556,0.1,6,0.05,0.3,0.9
32x32,1026,0.09236838778906398,0.008411998256407927,0.08395638953265605,0.33037332489285737,2.120908260345459,2,0.5555555555555556,0.1,6,0.05,0.2,0.5
32x32,1026,0.024870353803569167,0.00557920785014121,0.019291145953427957,0.33084489722288424,1.975761890411377,0,0.0,0.1,6,0.05,0.2,0.6
32x32,1026,0.19513999698670048,0.017832188150410766,0.17730780883628972,0.32880028937883965,2.2114617824554443,6,0.0,0.1,6,0.05,0.2,0.7
32x32,1026,0.1489895538506324,0.013800810276289655,0.13518874357434274,0.32947439048912175,2.146670341491699,3,1.1111111111111112,0.1,6,0.05,0.2,0.8
32x32,1026,0.07415764818687409,0.003750996778689286,0.0704066514081848,0.331148881493277,1.9664435386657715,1,0.5555555555555556,0.1,6,0.05,0.2,0.9
32x32,1026,0.14845469204282058,0.008442614337117016,0.14001207770570356,0.33036822458182213,2.1389193534851074,4,1.6666666666666667,0.1,6,0.05,0.1,0.5
32x32,1026,0.023754112987806386,0.005221163676092044,0.018532949311714342,0.33090445270890767,2.029719829559326,0,0.0,0.1,6,0.05,0.1,0.6
32x32,1026,0.07006172264201416,0.0068768784543883354,0.06318484418762582,0.33062895852999524,2.0941219329833984,1,0.0,0.1,6,0.05,0.1,0.7
32x32,1026,0.07527978955306536,-0.0031149696684908967,0.07839475922155625,0.3322880310109369,2.0253677368164062,1,1.1111111111111112,0.1,6,0.05,0.1,0.8
32x32,1026,0.07380092691525642,0.003855502297172575,0.06994542461808384,0.3311315124454545,2.001863956451416,1,0.5555555555555556,0.1,6,0.05,0.1,0.9
32x32,1026,0.16717830816456036,0.018632756478858647,0.14854555168570172,0.328666258943265,2.3772623538970947,5,0.5555555555555556,0.1,6,0.1,0.5,0.5
32x32,1026,0.026066973973724927,0.005954227816346136,0.02011274615737879,0.33078250656134023,2.1752638816833496,0,0.0,0.1,6,0.1,0.5,0.6
32x32,1026,0.14274468363786708,0.012158662173448409,0.13058602146441867,0.3297485849472994,2.134652614593506,3,0.5555555555555556,0.1,6,0.1,0.5,0.7
32x32,1026,0.15196501759217995,0.005382221839858703,0.14658279575232125,0.330877664331974,2.1476850509643555,3,1.1111111111111112,0.1,6,0.1,0.5,0.8
32x32,1026,0.14695339907779104,0.006440787722797547,0.1405126113549935,0.3307015418766908,2.258697509765625,3,2.2222222222222223,0.1,6,0.1,0.5,0.9
32x32,1026,0.0885320591204024,0.009383638802117678,0.07914842031828473,0.33021142156591177,2.1168525218963623,2,1.1111111111111112,0.1,6,0.1,0.3,0.5
32x32,1026,0.021300747689113275,0.004407046568941975,0.0168937011201713,0.33103982947354504,2.0363194942474365,0,0.0,0.1,6,0.1,0.3,0.6
32x32,1026,0.19292149401021874,0.017643526703091994,0.17527796730712675,0.3288318669560785,2.19477915763855,6,0.5555555555555556,0.1,6,0.1,0.3,0.7
32x32,1026,0.14500700986264947,0.016374638572566713,0.12863237129008276,0.32904417084615395,2.2681901454925537,3,1.1111111111111112,0.1,6,0.1,0.3,0.8
32x32,1026,0.0674228060093155,0.00378373979794544,0.06363906621137005,0.3311434396292146,2.0131618976593018,1,0.5555555555555556,0.1,6,0.1,0.3,0.9
32x32,1026,0.09034140322623019,0.00881934640206794,0.08152205682416225,0.33030545860915067,2.2321674823760986,2,1.1111111111111112,0.1,6,0.1,0.2,0.5
32x32,1026,0.023438470975939985,0.005118484611204455,0.01831998636473553,0.33092152991331614,2.1276841163635254,0,0.0,0.1,6,0.1,0.2,0.6
32x32,1026,0.19496307107970945,0.018016745260384104,0.17694632581932535,0.32876939583835746,2.3073673248291016,6,0.5555555555555556,0.1,6,0.1,0.2,0.7
32x32,1026,0.14786613509862623,0.01512330798831829,0.13274282711030794,0.32925340303097844,2.117465019226074,3,1.1111111111111112,0.1,6,0.1,0.2,0.8
32x32,1026,0.0710943724840214,0.0037636442410438065,0.06733072824297759,0.3311467795055755,2.0172014236450195,1,0.5555555555555556,0.1,6,0.1,0.2,0.9
32x32,1026,0.13412006688806644,0.013506750150479419,0.12061331673758702,0.3295235073716988,2.2181220054626465,4,0.5555555555555556,0.1,6,0.1,0.1,0.5
32x32,1026,0.02033779434704719,0.0040775627908564704,0.01626023155619072,0.3310946024762438,2.1609957218170166,0,0.0,0.1,6,0.1,0.1,0.6
32x32,1026,0.09588248007639122,0.009814034692546492,0.08606844538384473,0.33013967982777076,2.2652084827423096,2,0.5555555555555556,0.1,6,0.1,0.1,0.7
32x32,1026,0.0673769214884089,-0.0021842482085847603,0.06956116969699366,0.3321338416203763,2.1912271976470947,1,0.5555555555555556,0.1,6,0.1,0.1,0.8
32x32,1026,0.10730190791881522,0.006108106836544724,0.1011938010822705,0.330756902882192,2.144357442855835,2,0.5555555555555556,0.1,6,0.1,0.1,0.9
32x32,1026,0.16346887792571874,0.01910647613802252,0.14436240178769622,0.3285869234738741,2.3686678409576416,5,0.5555555555555556,0.1,6,0.2,0.5,0.5
32x32,1026,0.02509861784568912,0.005651453072293089,0.01944716477339603,0.33083287897194613,2.118800401687622,0,0.0,0.1,6,0.2,0.5,0.6
32x32,1026,0.14125123187098065,0.011734455753031892,0.12951677611794876,0.32981937893388513,2.1524734497070312,3,0.5555555555555556,0.1,6,0.2,0.5,0.7
32x32,1026,0.1500025392631582,0.005700646407403309,0.1443018928557549,0.3308246952349526,2.145207166671753,3,1.1111111111111112,0.1,6,0.2,0.5,0.8
32x32,1026,0.144884912713252,0.006384598682176557,0.13850031403107543,0.33071089287431243,2.28761887550354,3,2.2222222222222223,0.1,6,0.2,0.5,0.9
32x32,1026,0.1551850809323967,0.01955410621962539,0.1356309747127713,0.32851193971049975,2.301748514175415,8,1.6666666666666667,0.1,6,0.2,0.3,0.5
32x32,1026,0.02140509910323074,0.004442428648763874,0.016962670454466866,0.3310339470585996,2.0792603492736816,0,0.0,0.1,6,0.2,0.3,0.6
32x32,1026,0.06010063959344969,0.006212844883439317,0.05388779471001037,0.3307394745557454,2.113212823867798,1,0.5555555555555556,0.1,6,0.2,0.3,0.7
32x32,1026,0.16877697732947772,0.01522779012114317,0.15354918720833455,0.3292359378952467,2.4422271251678467,6,0.5555555555555556,0.1,6,0.2,0.3,0.8
32x32,1026,0.06409050226543456,0.003549788301838497,0.06054071396359606,0.33118232022091076,2.227733850479126,1,0.5555555555555556,0.1,6,0.2,0.3,0.9
