nutrient,accuracy,macro_f1,weighted_f1,duration_sec,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,skip_drop,subsample
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,60.41039752960205,0.7,0.1,6,150,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,168.61137461662292,0.7,0.1,6,250,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,168.2619812488556,0.7,0.1,6,250,0.1,0.5,0.8
P,0.6470588235294118,0.6488039763901833,0.6464009648593827,168.86339855194092,0.7,0.1,6,250,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,159.58002519607544,0.7,0.1,6,250,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,160.20304131507874,0.7,0.1,6,250,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,160.9709141254425,0.7,0.1,6,250,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,327.64674520492554,0.7,0.1,6,350,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,328.8138563632965,0.7,0.1,6,350,0.1,0.5,0.8
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,330.22875356674194,0.7,0.1,6,350,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,313.3511424064636,0.7,0.1,6,350,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,314.25380849838257,0.7,0.1,6,350,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,314.5328252315521,0.7,0.1,6,350,0.2,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,63.457157611846924,0.8,0.05,4,150,0.1,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,63.67854976654053,0.8,0.05,4,150,0.1,0.5,0.8
P,0.6666666666666666,0.6681252681252681,0.6642894995836173,64.03362226486206,0.8,0.05,4,150,0.1,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,60.22554397583008,0.8,0.05,4,150,0.2,0.5,0.7
