pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,24.61,0.5,0.01,3,100,0.1,1.0,5.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,24.69,0.5,0.01,3,100,0.1,1.0,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,23.07,0.5,0.01,3,100,0.3,0.1,1.0,0.5,0.6
RawPixels,N,0.6274509803921569,0.6056166056166056,0.6110751993104934,23.36,0.5,0.01,3,100,0.3,0.1,1.0,0.5,0.7
RawPixels,N,0.6274509803921569,0.6125549780087964,0.6170237787238047,23.78,0.5,0.01,3,100,0.3,0.1,1.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5432835820895523,0.55171202809482,23.23,0.5,0.01,3,100,0.3,0.1,5.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,23.35,0.5,0.01,3,100,0.3,0.1,5.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,23.59,0.5,0.01,3,100,0.3,0.1,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5432835820895523,0.55171202809482,23.32,0.5,0.01,3,100,0.3,1.0,1.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,23.1,0.5,0.01,3,100,0.3,1.0,1.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,23.49,0.5,0.01,3,100,0.3,1.0,1.0,0.5,0.8
RawPixels,N,0.5294117647058824,0.4092664092664092,0.42493754258460137,23.2,0.5,0.01,3,100,0.3,1.0,5.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5432835820895523,0.55171202809482,23.07,0.5,0.01,3,100,0.3,1.0,5.0,0.5,0.7
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,23.03,0.5,0.01,3,100,0.3,1.0,5.0,0.5,0.8
RawPixels,N,0.6274509803921569,0.6056166056166056,0.6110751993104934,43.96,0.5,0.01,3,150,0.1,0.1,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5717712914834066,0.5767104922736788,43.75,0.5,0.01,3,150,0.1,0.1,1.0,0.5,0.7
RawPixels,N,0.6862745098039216,0.6802507836990596,0.6828323806011434,44.24,0.5,0.01,3,150,0.1,0.1,1.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,43.7,0.5,0.01,3,150,0.1,0.1,5.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,44.07,0.5,0.01,3,150,0.1,0.1,5.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,44.7,0.5,0.01,3,150,0.1,0.1,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,43.68,0.5,0.01,3,150,0.1,1.0,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5717712914834066,0.5767104922736788,43.96,0.5,0.01,3,150,0.1,1.0,1.0,0.5,0.7
RawPixels,N,0.6470588235294118,0.6357142857142857,0.6394957983193277,44.45,0.5,0.01,3,150,0.1,1.0,1.0,0.5,0.8
RawPixels,N,0.6078431372549019,0.5588235294117647,0.5674740484429066,44.53,0.5,0.01,3,150,0.1,1.0,5.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,44.11,0.5,0.01,3,150,0.1,1.0,5.0,0.5,0.7
RawPixels,N,0.5882352941176471,0.5641025641025641,0.5701357466063348,44.35,0.5,0.01,3,150,0.1,1.0,5.0,0.5,0.8
RawPixels,N,0.6274509803921569,0.6056166056166056,0.6110751993104934,40.71,0.5,0.01,3,150,0.3,0.1,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5717712914834066,0.5767104922736788,40.56,0.5,0.01,3,150,0.3,0.1,1.0,0.5,0.7
RawPixels,N,0.6666666666666666,0.6582577847851794,0.6614111154907372,40.81,0.5,0.01,3,150,0.3,0.1,1.0,0.5,0.8
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,40.04,0.5,0.01,3,150,0.3,0.1,5.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,40.94,0.5,0.01,3,150,0.3,0.1,5.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,41.1,0.5,0.01,3,150,0.3,0.1,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,40.49,0.5,0.01,3,150,0.3,1.0,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5717712914834066,0.5767104922736788,40.13,0.5,0.01,3,150,0.3,1.0,1.0,0.5,0.7
RawPixels,N,0.6470588235294118,0.6357142857142857,0.6394957983193277,40.44,0.5,0.01,3,150,0.3,1.0,1.0,0.5,0.8
RawPixels,N,0.6078431372549019,0.5588235294117647,0.5674740484429066,40.18,0.5,0.01,3,150,0.3,1.0,5.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,41.01,0.5,0.01,3,150,0.3,1.0,5.0,0.5,0.7
RawPixels,N,0.5882352941176471,0.5641025641025641,0.5701357466063348,40.64,0.5,0.01,3,150,0.3,1.0,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5296442687747036,0.5394094396651941,13.07,0.5,0.01,4,50,0.1,0.1,1.0,0.5,0.6
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,12.97,0.5,0.01,4,50,0.1,0.1,1.0,0.5,0.7
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,13.05,0.5,0.01,4,50,0.1,0.1,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,13.06,0.5,0.01,4,50,0.1,0.1,5.0,0.5,0.6
RawPixels,N,0.49019607843137253,0.38611111111111107,0.4009803921568627,12.84,0.5,0.01,4,50,0.1,0.1,5.0,0.5,0.7
RawPixels,N,0.5294117647058824,0.43333333333333335,0.4470588235294118,12.94,0.5,0.01,4,50,0.1,0.1,5.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.36003861003861004,0.37701567113331824,12.65,0.5,0.01,4,50,0.1,1.0,1.0,0.5,0.6
RawPixels,N,0.5098039215686274,0.4207178555202181,0.4340807654274795,13.04,0.5,0.01,4,50,0.1,1.0,1.0,0.5,0.7
RawPixels,N,0.5686274509803921,0.5147058823529412,0.5242214532871973,13.14,0.5,0.01,4,50,0.1,1.0,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,13.01,0.5,0.01,4,50,0.1,1.0,5.0,0.5,0.6
RawPixels,N,0.47058823529411764,0.32,0.33882352941176475,13.18,0.5,0.01,4,50,0.1,1.0,5.0,0.5,0.7
RawPixels,N,0.5098039215686274,0.39773264052905055,0.4130150879435383,13.02,0.5,0.01,4,50,0.1,1.0,5.0,0.5,0.8
