nutrient,accuracy,macro_f1,weighted_f1,duration_sec,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,skip_drop,subsample
N,0.6274509803921569,0.626877165960724,0.6277378876078734,223.03573083877563,0.8,0.05,6,350,0.1,0.5,0.9
N,0.6862745098039216,0.6851851851851851,0.6862745098039216,211.60221791267395,0.8,0.05,6,350,0.2,0.5,0.7
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,213.022851228714,0.8,0.05,6,350,0.2,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,214.059476852417,0.8,0.05,6,350,0.2,0.5,0.9
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,42.95295071601868,0.8,0.1,4,150,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,43.28580141067505,0.8,0.1,4,150,0.1,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,43.1480667591095,0.8,0.1,4,150,0.1,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,41.78228688240051,0.8,0.1,4,150,0.2,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,41.35806584358215,0.8,0.1,4,150,0.2,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,41.265008211135864,0.8,0.1,4,150,0.2,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,115.5148298740387,0.8,0.1,4,250,0.1,0.5,0.7
N,0.6666666666666666,0.6661532537543319,0.666923373122834,116.10936498641968,0.8,0.1,4,250,0.1,0.5,0.8
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,116.19134640693665,0.8,0.1,4,250,0.1,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,110.15095925331116,0.8,0.1,4,250,0.2,0.5,0.7
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,109.69383668899536,0.8,0.1,4,250,0.2,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,110.70493769645691,0.8,0.1,4,250,0.2,0.5,0.9
N,0.6862745098039216,0.6851851851851851,0.6862745098039216,221.2119266986847,0.8,0.1,4,350,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,221.0777153968811,0.8,0.1,4,350,0.1,0.5,0.8
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,221.4111099243164,0.8,0.1,4,350,0.1,0.5,0.9
N,0.6862745098039216,0.6851851851851851,0.6862745098039216,211.23312330245972,0.8,0.1,4,350,0.2,0.5,0.7
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,211.07062792778015,0.8,0.1,4,350,0.2,0.5,0.8
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,211.84810972213745,0.8,0.1,4,350,0.2,0.5,0.9
N,0.6666666666666666,0.6646034816247582,0.6661508704061896,43.4847354888916,0.8,0.1,6,150,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,43.52443075180054,0.8,0.1,6,150,0.1,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,43.7230703830719,0.8,0.1,6,150,0.1,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,41.333877086639404,0.8,0.1,6,150,0.2,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,41.43214797973633,0.8,0.1,6,150,0.2,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,46.12064170837402,0.8,0.1,6,150,0.2,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,118.43193197250366,0.8,0.1,6,250,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,117.77735161781311,0.8,0.1,6,250,0.1,0.5,0.8
N,0.6274509803921569,0.626877165960724,0.6277378876078734,117.58236789703369,0.8,0.1,6,250,0.1,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,112.35505509376526,0.8,0.1,6,250,0.2,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,112.52515387535095,0.8,0.1,6,250,0.2,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,112.76665306091309,0.8,0.1,6,250,0.2,0.5,0.9
N,0.6862745098039216,0.6851851851851851,0.6862745098039216,224.8081076145172,0.8,0.1,6,350,0.1,0.5,0.7
